Year,ID Geography,Geography,Average Income,Population
"2013","04000US01","Alabama",,4799277
"2013","04000US02","Alaska",,720316
"2013","04000US04","Arizona",,6479703
"2013","04000US05","Arkansas",,2933369
"2013","04000US06","California",,37659181
"2013","04000US08","Colorado",,5119329
"2013","04000US09","Connecticut",,3583561
"2013","04000US10","Delaware",,908446
"2013","04000US11","District of Columbia",,619371
"2013","04000US12","Florida",,19091156
"2013","04000US13","Georgia",,9810417
"2013","04000US15","Hawaii",,1376298
"2013","04000US16","Idaho",,1583364
"2013","04000US17","Illinois",,12848554
"2013","04000US18","Indiana",,6514861
"2013","04000US19","Iowa",,3062553
"2013","04000US20","Kansas",,2868107
"2013","04000US21","Kentucky",,4361333
"2013","04000US22","Louisiana",,4567968
"2013","04000US23","Maine",,1328320
"2013","04000US24","Maryland",,5834299
"2013","04000US25","Massachusetts",,6605058
"2013","04000US26","Michigan",,9886095
"2013","04000US27","Minnesota",,5347740
"2013","04000US28","Mississippi",,2976872
"2013","04000US29","Missouri",,6007182
"2013","04000US30","Montana",,998554
"2013","04000US31","Nebraska",,1841625
"2013","04000US32","Nevada",,2730066
"2013","04000US33","New Hampshire",,1319171
"2013","04000US34","New Jersey",,8832406
"2013","04000US35","New Mexico",,2069706
"2013","04000US36","New York",,19487053
"2013","04000US37","North Carolina",,9651380
"2013","04000US38","North Dakota",,689781
"2013","04000US39","Ohio",,11549590
"2013","04000US40","Oklahoma",,3785742
"2013","04000US41","Oregon",,3868721
"2013","04000US42","Pennsylvania",,12731381
"2013","04000US44","Rhode Island",,1051695
"2013","04000US45","South Carolina",,4679602
"2013","04000US46","South Dakota",,825198
"2013","04000US47","Tennessee",,6402387
"2013","04000US48","Texas",,25639373
"2013","04000US49","Utah",,2813673
"2013","04000US50","Vermont",,625904
"2013","04000US51","Virginia",,8100653
"2013","04000US53","Washington",,6819579
"2013","04000US54","West Virginia",,1853619
"2013","04000US55","Wisconsin",,5706871
"2013","04000US56","Wyoming",,570134
"2013","04000US72","Puerto Rico",,3682966
